"Name",	valid,gpio,pwm,fast_gpio,spi,i2c,aio,uart,gpio.pinmap,gpio.parent_id,gpio.mux_total,pwm.pinmap,pwm.parent_id,pwm.mux_total,i2c.pinmap,i2c.mux_total,spi.pinmap,spi.mux_total,uart.pinmap,uart.parent_id,uart.mux_total
"J17-1",1, 1, 1, 0, 0, 0, 0, 0,182,,0,2,0,0,,,,,,,,
"J17-2",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J17-3",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J17-4",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J17-5",1, 1, 0, 0, 0, 0, 0, 0,135,,0,,,,,,,,,,,
"J17-6",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J17-7",1, 1, 0, 0, 0, 1, 0, 0,27,,0,,,,1,0,,,,,,
"J17-8",1, 1, 0, 0, 0, 1, 0, 0,20,,0,,,,1,0,,,,,,
"J17-9",1, 1, 0, 0, 0, 1, 0, 0,28,,0,,,,1,0,,,,,,
"J17-10",1, 1, 0, 0, 1, 0, 0, 0,111,,0,,,,,,5,0,,,,
"J17-11",1, 1, 0, 0, 1, 0, 0, 0,109,,0,,,,,,5,0,,,,
"J17-12",1, 1, 0, 0, 1, 0, 0, 0,115,,0,,,,,,5,0,,,,
"J17-13",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J17-14",1, 1, 0, 0, 0, 0, 0, 0,128,0,0,,,,,,,,,,,
"J18-1",1, 1, 1, 0, 0, 0, 0, 0,13,,0,1,0,0,,,,,,,,
"J18-2",1, 1, 0, 0, 0, 0, 0, 0,165,,0,,,,,,,,,,,
"J18-3",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J18-4",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J18-5",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J18-6",1, 1, 0, 0, 0, 1, 0, 0,19,,0,,,,1,0,,,,,,
"J18-7",1, 1, 1, 0, 0, 0, 0, 0,12,,0,0,0,0,,,,,,,,
"J18-8",1, 1, 1, 0, 0, 0, 0, 0,183,,0,3,0,0,,,,,,,,
"J18-9",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J18-10",1, 1, 0, 0, 1, 0, 0, 0,110,,0,,,,,,5,0,,,,
"J18-11",1, 1, 0, 0, 1, 0, 0, 0,114,,0,,,,,,5,0,,,,
"J18-12",1, 1, 0, 0, 0, 0, 0, 0,129,,0,,,,,,,,,,,
"J18-13",1, 1, 0, 0, 0, 0, 0, 1,130,,0,,,,,,,,0,0,0
"J18-14",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J19-1",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J19-2",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J19-3",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J19-4",1, 1, 0, 0, 0, 0, 0, 0,44,,0,,,,,,,,,,,
"J19-5",1, 1, 0, 0, 0, 0, 0, 0,46,,0,,,,,,,,,,,
"J19-6",1, 1, 0, 0, 0, 0, 0, 0,48,,0,,,,,,,,,,,
"J19-7",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J19-8",1, 1, 0, 0, 0, 0, 0, 1,131,,0,,,,,,,,0,0,0
"J19-9",1, 1, 0, 0, 0, 0, 0, 0,14,,0,,,,,,,,,,,
"J19-10",1, 1, 0, 0, 0, 0, 0, 0,40,,0,,,,,,,,,,,
"J19-11",1, 1, 0, 0, 0, 0, 0, 0,43,,0,,,,,,,,,,,
"J19-12",1, 1, 0, 0, 0, 0, 0, 0,77,,0,,,,,,,,,,,
"J19-13",1, 1, 0, 0, 0, 0, 0, 0,82,,0,,,,,,,,,,,
"J19-14",1, 1, 0, 0, 0, 0, 0, 0,83,,0,,,,,,,,,,,
"J20-1",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J20-2",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J20-3",1, 0, 0, 0, 0, 0, 0, 0,,,,,,,,,,,,,,
"J20-4",1, 1, 0, 0, 0, 0, 0, 0,45,,0,,,,,,,,,,,
"J20-5",1, 1, 0, 0, 0, 0, 0, 0,47,,0,,,,,,,,,,,
"J20-6",1, 1, 0, 0, 0, 0, 0, 0,49,,0,,,,,,,,,,,
"J20-7",1, 1, 0, 0, 0, 0, 0, 0,15,,0,,,,,,,,,,,
"J20-8",1, 1, 0, 0, 0, 0, 0, 0,84,,0,,,,,,,,,,,
"J20-9",1, 1, 0, 0, 0, 0, 0, 0,42,,0,,,,,,,,,,,
"J20-10",1, 1, 0, 0, 0, 0, 0, 0,41,,0,,,,,,,,,,,
"J20-11",1, 1, 0, 0, 0, 0, 0, 0,78,,0,,,,,,,,,,,
"J20-12",1, 1, 0, 0, 0, 0, 0, 0,79,,0,,,,,,,,,,,
"J20-13",1, 1, 0, 0, 0, 0, 0, 0,80,,0,,,,,,,,,,,
"J20-14",1, 1, 0, 0, 0, 0, 0, 0,81,,0,,,,,,,,,,,
